# Русский<TAB>English. \n — перенос строки.
Нельзя разыграть	Unplayable
Лев прячется за древком и копит силу для следующего замаха.	The lion hides behind the haft and gathers strength for the next swing.
Львиная гордость	Lion's Pride
Прайд изгнал его — но гордость осталась.	The pride cast him out — but the pride remained.
Быстрый замах	Quick Swing
Не столько удар, сколько разгон.	Not so much a strike as a wind-up.
Боль лев запоминает. И возвращает.	A lion remembers pain. And returns it.
Рана	Wound
Глубокий порез под мехом. Мешает, пока не заживёт.	A deep cut beneath the fur. It gets in the way until it heals.
Раскалённая броня	Molten Armor
Иногда даже выгодно немного пропустить.	Sometimes it even pays to let a little through.
Перегретая чешуя	Overheated Scales
Иногда полезно, иногда нет.	Sometimes useful, sometimes not.
Кровь дракона закипает. Два хода — по две карты.	Dragon blood boils. Two turns — two cards each.
Драконья кровь	Dragon Blood
Восстановить 8 HP.	Restore 8 HP.
Чумное пламя	Plague Flame
Огонь, отравленный королевской чумой.	Fire tainted by the king's plague.
Рефлекторная защита	Reflex Guard
Хороша ровно тогда, когда ты правильно читаешь врага.	Good exactly when you read the enemy right.
Раздирающие когти	Rending Claws
Пробивает любую защиту.	Pierces any defense.
Драконья чешуя	Dragon Scales
Чешуя твёрже стали.	Scales harder than steel.
Сбросить чешую	Shed Skin
Старая чешуя уходит вместе с ядом.	The old scales go — and the poison with them.
Тлеющее дыхание	Smoldering Breath
Огонь продолжает жечь, пока ты защищаешься. Повторный поджог продлевает горение.	The fire keeps burning while you defend. Igniting again extends the burn.
Шипастая чешуя	Spiked Scales
Ответный урон проходит, даже если удар полностью поглощён блоком.	The return damage lands even if the blow was fully absorbed by block.
Каменная кожа	Stonehide
Очень сильная защита с неприятным последствием.	Very strong defense with an unpleasant aftermath.
Удар хвостом	Tail Strike
Мощный удар хвостом.	A powerful tail strike.
Удар, пропитанный крысиной чумой.	A blow steeped in rat plague.
Тонкая чешуя	Thin Scales
Просто слабая защита.	Just weak defense.
Слабое пламя	Weak Flame
Хуже обычного дыхания, но хоть что-то.	Worse than a normal breath, but better than nothing.
Глубокая царапина, которая мешает сражаться.	A deep scratch that gets in the way of fighting.
Дракорождённый ящеро-воин	Dragonborn Lizard Warrior
Воин-ящеролюд с драконьей кровью. Дышит огнём и прячется за чешуёй: жжёт врага и держит удар.	A lizardfolk warrior with dragon blood. Breathes fire and hides behind scales: burns the enemy and takes the hit.
Белый лев	White Lion
Изгнанник прайда. Копит Замах ударами и стойками, а когда шкала полна — бьёт молнией сам, не тратя ход.	An exile from the pride. Builds Momentum with strikes and stances, and when the gauge is full, strikes with lightning on his own — without spending a turn.
Мышь-альбинос	Albino Bat
Укус	Bite
Быстрый укус: 3 урона.	A quick bite: 3 damage.
Визг	Screech
Оглушительный визг: в следующий ход у тебя на 1 карту меньше.	A deafening screech: 1 fewer card next turn.
Слепящий взмах	Blinding Sweep
Бьёт крылом по глазам: 2 урона, в следующий ход на 1 карту меньше.	A wing across the eyes: 2 damage, 1 fewer card next turn.
Пике	Dive
Пикирует: 4 урона.	Dives: 4 damage.
Сом	Catfish
Хвост	Tail
Тяжёлый удар хвостом: 5 урона.	A heavy tail slap: 5 damage.
Ил	Silt
Зарывается в ил: защита 8.	Burrows into the silt: block 8.
Проглотить	Swallow
Пытается проглотить: 3 урона, в следующий ход на 1 карту меньше.	Tries to swallow you: 3 damage, 1 fewer card next turn.
Уйти на дно	Sink to the bottom
Уходит на дно: защита 5. Выныривает и бьёт хвостом с +4 урона.	Sinks to the bottom: block 5. Surfaces and slaps with its tail for +4 damage.
Пещерная летучая мышь	Cave Bat
Мышь пикирует и кусает.	The bat dives and bites.
Мышь визжит и мечется под потолком — в этот ход она ничего не делает.	The bat screeches and flits under the ceiling — it does nothing this turn.
Царапины	Scratches
Мышь проносится мимо, полосуя когтями.	The bat swoops past, raking with its claws.
Пикирование	Dive Attack
Мышь набирает высоту и обрушивается сверху.	The bat gains height and crashes down from above.
Пещерный тритон	Cave Newt
Хлёсткий удар хвостом: 4 урона.	A lashing tail strike: 4 damage.
Ядовитая слизь	Toxic Slime
Нырнуть	Dive under
Уходит под воду: защита 5. Выныривает с укусом +3 урона.	Goes underwater: block 5. Surfaces with a bite for +3 damage.
Укус из-под воды: 5 урона.	A bite from under the water: 5 damage.
Пещерная крыса	Cave Rat
Крыса кусает тебя острыми зубами.	The rat bites you with sharp teeth.
Юркость	Nimbleness
Крыса мечется и уворачивается: в этот ход у неё есть блок, который поглотит часть твоего урона.	The rat darts and dodges: it has block this turn, absorbing part of your damage.
Грызть припасы	Gnaw Supplies
Крыса грызёт твои припасы: одна карта в руке до конца боя становится слабой.	The rat gnaws your supplies: one card in your hand becomes weak until the end of combat.
Чумной укус	Plague Bite
Заражённый укус. Яд наносит урон в начале каждого твоего хода.	An infected bite. The poison deals damage at the start of each of your turns.
Краб	Crab
Панцирь	Shell
Прячется в панцирь: защита 8.	Hides in its shell: block 8.
Клешни	Claws
Щёлкает обеими клешнями: 3 урона дважды.	Snaps both claws: 3 damage twice.
Хватка	Grip
Сжимает клешнёй: 3 урона, в следующий ход нельзя играть защитные карты.	Squeezes with a claw: 3 damage, no defense cards next turn.
Удар клешнёй	Claw Smash
Тяжёлая клешня: 6 урона.	A heavy claw: 6 damage.
Болотный крокодил	Swamp Crocodile
Крокодил смыкает челюсти.	The crocodile snaps its jaws shut.
Захват	Grab
Челюсти сжали тебя — в следующий ход не размахнуться: на одну карту меньше.	The jaws clamp down on you — no room to swing next turn: one fewer card.
Два тяжёлых удара хвостом.	Two heavy tail strikes.
Погружение	Submerge
Крокодил залёг под водой: в этот ход у него есть блок, а следующий его ход — Укус с удвоенной силой. Готовься!	The crocodile lies in wait underwater: it has block this turn, and its next move is a Bite with doubled force. Brace yourself!
Мёртвая голова	Death's-head Moth
Взмах крыльев	Wing Beat
Удар тяжёлым крылом: 4 урона.	A blow from a heavy wing: 4 damage.
Пыльца	Dust
Ядовитая пыльца: 2 урона и одна карта в руке становится слабой до конца боя.	Toxic dust: 2 damage and one card in your hand becomes weak until the end of combat.
Морок	Haze
Мотылёк растворяется в тумане: защита 5, в следующий ход у тебя на 1 карту меньше.	The moth dissolves into mist: block 5, 1 fewer card next turn.
Крик черепа	Skull Scream
Оглушительный крик: 6 урона. После него мотылёк всегда уходит в Морок.	A deafening scream: 6 damage. Afterwards the moth always slips into Haze.
Гигантский таракан	Giant Cockroach
Рой	Swarm
Мелкие тараканы налетают: 2 урона дважды.	Small roaches swarm in: 2 damage twice.
Шелест	Rustle
Шуршит в темноте: в следующий ход у тебя на 1 карту меньше.	Rustling in the dark: 1 fewer card next turn.
Хитин	Chitin
Прячется под панцирь: защита 4.	Hides under its shell: block 4.
Могильный жук	Grave Beetle
Прячется под хитин: защита 7.	Hides under its chitin: block 7.
Ядовитые жвала	Venomous Mandibles
Кусает: 3 урона и яд 2 урона в ход, 2 хода.	Bites: 3 damage and poison 2 per turn for 2 turns.
Таран	Ram
Медленно, но тяжело: 6 урона.	Slow, but heavy: 6 damage.
Могильная пыль	Grave Dust
Взметает трупную пыль: защита 4 и яд 1 урона в ход, 3 хода.	Kicks up corpse dust: block 4 and poison 1 per turn for 3 turns.
Пираньи	Piranhas
Стая	Frenzy
Стая налетает разом: 2 урона три раза.	The shoal strikes at once: 2 damage three times.
Один крупный укус: 4 урона.	One big bite: 4 damage.
Кровавая вода	Bloody Water
Кровотечение	Bleeding
Рвут рану: 2 урона и кровотечение 1 урон в ход, 2 хода.	They tear the wound: 2 damage and bleeding 1 per turn for 2 turns.
Уйти на глубину	Go deep
Стая уходит под воду: защита 6. Следующая Стая на +2 урона.	The shoal goes underwater: block 6. The next Frenzy deals +2 damage.
Крысиный король	Rat King
Королевский укус	Royal Bite
Мощный укус короля крыс.	A mighty bite from the rat king.
Крысиный заслон	Rat Wall
Свита закрывает короля собой: в этот ход у него есть блок.	The retinue shields the king with their bodies: it has block this turn.
Разграбление	Plunder
Крысы растаскивают припасы: в следующий ход на одну карту меньше, а одна карта в руке до конца боя становится слабой.	The rats carry off your supplies: one fewer card next turn, and one card in your hand becomes weak until the end of combat.
Пещерный скорпион	Cave Scorpion
Клешня	Pincer
Скорпион бьёт клешнёй.	The scorpion strikes with its pincer.
Жало	Sting
Удар хвостом: яд накапливается — второе жало продлит отравление.	A tail strike: the poison builds up — a second sting extends it.
Скорпион прижимается к земле: в этот ход у него есть блок.	The scorpion presses itself to the ground: it has block this turn.
Клешни держат щит: в следующий ход нельзя играть защитные карты.	Pincers hold your shield: no defense cards next turn.
Панцирная черепаха	Shell Turtle
Прячется в панцирь: защита 10.	Hides in its shell: block 10.
Роговой клюв: 5 урона.	A horned beak: 5 damage.
Уйти под воду	Go underwater
Опускается на дно: защита 8. Всплывает и таранит с +3 урона.	Sinks to the bottom: block 8. Surfaces and rams for +3 damage.
Тяжёлый таран панцирем: 7 урона.	A heavy shell ram: 7 damage.
Скелет-рыцарь	Skeleton Knight
Удар мечом	Sword Strike
Ржавый клинок: 5 урона.	A rusty blade: 5 damage.
Удар щитом	Shield Bash
Оглушает щитом: 4 урона, в следующий ход ты не можешь играть защитные карты.	Stuns with the shield: 4 damage, no defense cards next turn.
Костяная рука	Bone Hand
Костлявая рука лезет в сумку: 2 урона, в следующий ход на 1 карту меньше.	A bony hand reaches into your bag: 2 damage, 1 fewer card next turn.
Щит	Shield
Прячется за щитом: защита 6.	Hides behind the shield: block 6.
Рассыпаться	Collapse
Рассыпается грудой костей: защита 10. Собирается и бьёт мечом с +3 урона.	Collapses into a heap of bones: block 10. Reassembles and strikes with the sword for +3 damage.
Слизень	Slime
Плевок	Spit
Слизень плюётся едкой слизью.	The slime spits caustic goo.
Слизь	Ooze
Слизень покрывается плотной слизью: в этот ход у него есть блок, и твоя атака пробьёт его не полностью.	The slime coats itself in thick ooze: it has block this turn, and your attack won't fully get through.
Слизень плюётся едкой слизью, сильнее.	The slime spits caustic goo, harder.
Трещина в стене	Crack in the Wall
Чёрное зеркало	Black Mirror
Ловушка-колодец	Pit Trap
Странник у стены	Wanderer by the Wall
Кузнец	Blacksmith
Собиратель	Collector
Ростовщик	Usurer
Старый алтарь	Old Altar
Холодный зелёный огонь дрожит на алтаре.	A cold green flame flickers on the altar.
Заброшенный лагерь	Abandoned Camp
Кто-то ушёл отсюда в спешке...	Someone left here in a hurry...
Костёр	Campfire
Кто-то оставил тлеющий костёр. Можно передохнуть или заточить когти.	Someone left a smoldering fire. You can rest or sharpen your claws.
Родник	Spring
Ты пьёшь из целебного источника.	You drink from the healing spring.
# Словарь терминов
Пассивный удар	Passive strike
Порог удара	Strike threshold
Казнь	Execution
Горение	Burning
Блок	Block
Сквозь блок	Through block
Ослабление	Weakness
Самоурон	Self-damage
Один раз за бой	Once per combat
Остаётся в руке	Stays in hand
Метка	Mark
Порча	Spoiling
Защита	Block
Замах	Momentum
Копится от карт льва. Когда шкала полна (3/3), лев сам бьёт врага молнией на 6 урона сквозь блок — это не тратит ни карту, ни ход. Лишний Замах переносится дальше.	Builds up from the lion's cards. When the gauge is full (3/3), the lion strikes the enemy with lightning for 6 damage through block on his own — it costs neither a card nor a turn. Excess Momentum carries over.
Молния льва при полной шкале Замаха. Карты могут усиливать следующую молнию.	The lion's lightning when the Momentum gauge is full. Cards can empower the next bolt.
В этот ход молния срабатывает при меньшем Замахе (2/3 вместо 3/3).	This turn the lightning triggers at lower Momentum (2/3 instead of 3/3).
После этой карты в этот же ход можно сразу сыграть ещё одну карту атаки.	After this card you may immediately play one more attack card this turn.
Если враг в этот ход пробьёт блок и ранит тебя — в начале следующего хода получишь Замах.	If the enemy breaks your block and wounds you this turn, you gain Momentum at the start of your next turn.
Если после удара у врага останется не больше указанной доли здоровья — он погибает сразу.	If the enemy is left at the stated share of health or less after the hit, it dies immediately.
Позволяет играть по 2 карты за ход указанное число ходов. Остаётся в руке, пока не разыграна; один раз за бой. Несколько Яростей складывают ходы.	Lets you play 2 cards per turn for the stated number of turns. Stays in hand until played; once per combat. Multiple Rages add their turns together.
Враг теряет указанное здоровье в начале каждого своего хода. Повторный поджог продлевает горение, урон берётся наибольший.	The enemy loses the stated health at the start of each of its turns. Igniting again extends the burn; the higher damage is kept.
Отравленный теряет здоровье в начале своего хода указанное число ходов. Повторное отравление продлевает срок.	The poisoned loses health at the start of their turn for the stated number of turns. Poisoning again extends the duration.
Поглощает урон до конца хода. Что не поглотил — бьёт по здоровью.	Absorbs damage until the end of the turn. Whatever isn't absorbed hits health.
Этот урон блок не поглощает.	Block does not absorb this damage.
Если враг атакует в этот ход — он получает урон, даже если удар полностью поглощён блоком.	If the enemy attacks this turn, it takes damage, even if the blow was fully absorbed by block.
Атаки ослабленного слабее на указанное число указанное число ходов.	The weakened one's attacks are weaker by the stated amount for the stated number of turns.
Если враг пробьёт блок и ранит тебя — он загорится.	If the enemy breaks your block and wounds you, it catches fire.
Снимает с тебя яд или ослабление руки.	Removes poison or hand weakness from you.
Карта ранит тебя самого при розыгрыше.	The card wounds you when played.
В указанный ход нельзя играть защитные карты.	You cannot play defense cards on the stated turn.
В указанный ход нельзя играть атакующие карты.	You cannot play attack cards on the stated turn.
После розыгрыша карта выбывает до конца боя, а в следующем бою снова в колоде.	After being played the card leaves until the end of combat and is back in your deck for the next one.
В конце хода карта не сбрасывается, враги не могут её украсть или испортить.	The card is not discarded at the end of the turn; enemies cannot steal or spoil it.
Каждая карта с меткой элиты в колоде повышает шанс встретить его за фиолетовой дверью.	Every card with an elite's mark in your deck raises the chance of meeting it behind the purple door.
Враг уходит под воду или рассыпается: получает защиту и в следующий ход бьёт сильнее. Пока он скрыт, ты всё равно можешь его бить.	The enemy goes underwater or falls apart: it gains block and hits harder next turn. You can still hit it while hidden.
В следующий ход у тебя будет на одну карту меньше: враг утащит её из руки.	Next turn you will have one fewer card: the enemy drags it out of your hand.
Одна карта в руке до конца боя заменяется слабой.	One card in your hand is replaced with a weak one until the end of combat.
У врага в этот ход есть блок: часть твоего урона он поглотит.	The enemy has block this turn: it will absorb part of your damage.
То же, что яд: теряешь здоровье в начале своего хода.	Same as poison: you lose health at the start of your turn.
Остался один!	All alone now!
Малыш кусает на {0}.	The little one bites for {0}.
Малыш ({0})	Little one ({0})
{0} — и с ним малыш!	{0} — and a little one with it!
В колоду	To the deck
Контракт подписан	Contract signed
Малыш повержен!	The little one is down!
<size=22><b>Малыш</b></size>\n\n<color=#ffb3a7>Атака {0}</color>\n\nБьёт после главного врага. Кликни по нему, чтобы направить на него атаки.	<size=22><b>Little one</b></size>\n\n<color=#ffb3a7>Attack {0}</color>\n\nStrikes after the main enemy. Click it to aim your attacks at it.
Вялый взмах	Limp Swing
Топор тяжёл, а рука дрожит.	The axe is heavy and the hand trembles.
Шаткая стойка	Shaky Stance
Ноги не держат, щит не держится.	The legs won't hold, the guard won't hold.
Сбитый замах	Missed Swing
Замах ушёл в пустоту.	The swing went into nothing.
1 раз за бой	once a fight
Стойка скалы	Rock Stance
Лев врастает в камень. Сдвинуть его не проще, чем гору.	The lion roots himself into the stone. Moving him is no easier than moving a mountain.
